,"Item","Description","Price","UPC / GTIN","Gross Wt (lbs)","Pack/Unit","Case Cube"
,"1/2 Sheet",,0.00,,,,
,"1/2 Sheet:48-cut",,0.00,,,,
,"1/2 Sheet:48-cut:6101-1","New York ""Signature"" Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061018","7","1 / 1120 g",
,"1/2 Sheet:48-cut:6101-2","New York ""Signature"" Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061015","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6103-1","White Chocolate Raspberry Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061032","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6103-2","White Chocolate Raspberry Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061039","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6108-1","Pumpkin Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061087","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6108-2","Pumpkin Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061084","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6109-1","Very Berry Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061094","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6109-2","Very Berry Cheesecake, 1/2 Sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061091","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6110-1","Cajeta Swirl Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"603812061100","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6110-2","Cajeta Swirl Cheesecake, 1/2 sheet,48 piece pre-cut (2X48/cs)",53.14,"10603812061107","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6112-1","Key Lime Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"603812061124","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6112-2","Key Lime Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061127","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6117-1","Chocolate Truffle Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061179","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6117-2","Chocolate Truffle Cheesecake, 1/2 Sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061176","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6118-1","Egg Nog Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061186","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6118-2","Egg Nog Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061183","14.5","2 / 112 oz",".66"
,"1/2 Sheet:48-cut:6121-1","Strawberry Swirl Cheesecake, 1/2 sheet, 48 piece pre-cut",0.00,"00603812061216","7","1 / 112 oz",
,"1/2 Sheet:48-cut:6121-2","Strawberry Swirl Cheesecake, 1/2 sheet, 48 piece pre-cut (2X48/cs)",53.14,"10603812061213","14.5","2 / 112 oz",".66"
